from	to
7852240.0	4281779.0
9496837.0	1817690.0
7827958.0	8062560.0
7827958.0	4248328.0
7827958.0	1682190.0
1579565.0	2556381.0
1579565.0	7104527.0
7166750.0	3603681.0
7166750.0	6862608.0
7166750.0	7820028.0
8942066.0	2159528.0
8942066.0	2008318.0
6599163.0	463319.0
9194228.0	2464144.0
9194228.0	1553888.0
9194228.0	1011527.0
7479922.0	7450125.0
3224142.0	3481618.0
3224142.0	5816907.0
3224142.0	640043.0
3224142.0	3482570.0
3224142.0	2425135.0
5737181.0	8510838.0
5737181.0	9071534.0
5737181.0	1906356.0
5737181.0	4807311.0
9099842.0	3603681.0
6067789.0	2641232.0
6067789.0	5168739.0
6067789.0	3959018.0
6067789.0	1059101.0
4526506.0	2106563.0
4526506.0	1859698.0
4526506.0	4281779.0
4065323.0	2232273.0
4065323.0	1059101.0
4065323.0	2504564.0
4065323.0	3963270.0
7971387.0	4830296.0
7971387.0	7804896.0
8911684.0	1906356.0
2179875.0	295783.0
1391264.0	1407478.0
1391264.0	519413.0
2877123.0	1175966.0
2877123.0	4830296.0
8864377.0	1906356.0
2877123.0	4248328.0
2877123.0	7087089.0
8933290.0	7104527.0
2877123.0	2217859.0
2877123.0	2645713.0
2877123.0	4799536.0
5667333.0	7104527.0
2801144.0	8929645.0
2801144.0	3655408.0
2801144.0	1842959.0
7226603.0	519413.0
7724838.0	3711988.0
6832877.0	7182381.0
6832877.0	8691060.0
7302589.0	5947043.0
8796071.0	2815635.0
8796071.0	6336221.0
7598701.0	1235074.0
7598701.0	1011527.0
1760937.0	2519416.0
8486983.0	6532073.0
8486983.0	6227095.0
8486983.0	1441828.0
8486983.0	4789888.0
7124969.0	3711988.0
2039708.0	6532073.0
2039708.0	2039708.0
2039708.0	1976327.0
3955028.0	8524130.0
8377234.0	8377234.0
8377234.0	6618934.0
8377234.0	7450125.0
8691060.0	8524130.0
8691060.0	4281779.0
8691060.0	3303064.0
8377234.0	5947043.0
