user_id	post_type	post_id
4464125	question	42448637
3161484	question	42433739
4057371	question	42410978
5523494	question	42409994
3798988	question	42387185
6868220	question	42389692
7038718	question	42381072
6254259	question	42268732
5099332	question	42380284
7594972	question	42354624
7123934	question	42333860
5240796	question	33682330
1032593	question	22961621
5930816	question	42286305
7565595	question	42238212
7132584	question	42124697
7325280	question	42208275
7422385	question	42177494
7355514	question	42105430
7160184	question	42072634
5922161	question	42050583
5721077	question	34483041
6382509	question	42018380
6760485	question	42018131
6936310	question	42012297
6893143	question	41995101
7488337	question	41955789
7488337	question	41961865
7488337	question	41952483
923526	question	41949286
7273194	question	41819854
2661962	question	41886766
6286828	question	41877168
7449898	question	41819601
5868615	question	41858589
7043501	question	41856756
7165917	question	41823148
7267465	question	41821094
4542905	question	41760093
6579677	question	40744825
2647213	question	41746914
7180518	question	41684083
6845052	question	41589805
4999348	question	41676347
3137873	question	41646053
6845052	question	41593721
982124	question	26500529
4447395	question	41578560
7386637	question	41518704
6664375	question	41495215
3775473	question	40958384
3129498	question	41449587
3187989	question	35545210
7359217	question	41422339
7166543	question	41421821
6519977	question	41414030
5473614	question	41409668
7326105	question	41408264
4867943	question	41403138
2848696	question	31980540
7335844	question	41373933
1721875	question	41347829
6898043	question	41341039
1721875	question	41292722
7136275	question	40910562
1208461	question	41174842
3232860	question	41174232
5197317	question	41137465
5732656	question	41149777
3011784	question	41133892
6734130	question	41124165
5495961	question	33380588
7051300	question	41080787
7272453	question	41075673
2346446	question	18722028
3711832	question	41050080
6270321	question	41031665
5252406	question	41029675
6533379	question	41019923
4827957	question	41014792
2992055	question	24917896
6610548	question	40959306
6610548	question	40947940
7182492	question	40931097
7238837	question	40922560
6666188	question	40881361
5733717	question	40876105
6923313	question	39862162
7148349	question	40832169
4038770	question	40807065
4382515	question	27589141
6932955	question	40739833
7190685	question	40726410
1797795	question	40720550
6726053	question	40664266
3019008	question	40614255
7039954	question	40647741
7058650	question	40621661
4309586	question	40619079
6225440	question	40579449
6057563	question	40578004
7146504	question	40551441
7090228	question	40333808
6686766	question	40570430
4313183	question	40510231
5891011	question	40483625
4526012	question	40445061
3304303	question	40410259
7114317	question	40419903
3701625	question	40386024
6726742	question	40361929
4139857	question	40351664
7062998	question	40212409
7075130	question	40263108
7033012	question	40245516
5734762	question	34550836
1802154	question	40201994
3511639	question	40202802
4965387	question	40190792
6307206	question	40058695
5030271	question	40199455
7057255	question	40192954
5030271	question	40186797
4965387	question	40181690
6222370	question	40144953
2280128	question	16217587
5169000	question	40133700
3607729	question	40129004
6671924	question	40104476
4520056	question	28279336
2434025	question	39939339
4760425	question	40062249
4874351	question	30135453
1928362	question	40023603
1802154	question	39891043
5966368	question	40005530
2253489	question	39967335
6947598	question	39952605
6944422	question	39942345
839224	question	39938055
1869730	question	39755284
6777880	question	39910594
6811846	question	39909038
6382509	question	39879362
6679425	question	39881130
5434429	question	39875327
4961615	question	39838058
6292444	question	39843658
6917514	question	39839905
6727313	question	39819607
6402798	question	39809376
6739485	question	39802061
6230450	question	39611635
3573301	question	39795967
6828175	question	39751933
4435606	question	39736594
5878519	question	39724050
