from	to	weight
643482.0	1034536.0	0.0005106360194413356
643482.0	643482.0	0.000510635886652454
3538177.0	643482.0	3.431361466558862e-09
643482.0	1034536.0	1.3278888156154772e-10
3538177.0	1034536.0	3.5641503481204095e-09
1772824.0	1034536.0	0.0005106360194413356
1194545.0	1023618.0	0.0013113958199638322
1194545.0	1483303.0	0.0004371317674813227
1483303.0	1023618.0	0.0008742640524825095
1772824.0	1023618.0	0.0013113958199638322
2889176.0	1196533.0	0.00048417869352719134
1894824.0	1196533.0	0.0009683644770175774
1894824.0	1196533.0	0.0009683644770175774
2838500.0	1196533.0	0.0014525456695374155
2807302.0	1884503.0	0.00044369800480556954
6395838.0	1884503.0	0.00044369800480556954
3629438.0	3400979.0	0.0006111258043106233
2838500.0	3400979.0	-0.00044626954694673964
2029048.0	992666.0	2.132195658043328e-09
2029048.0	991275.0	7.583677967288455e-10
2838500.0	991275.0	2.0353703597758913e-09
991275.0	992666.0	1.3738278613144826e-09
2838500.0	992666.0	3.409198221090374e-09
2758150.0	992666.0	2.701546079019162e-09
2758150.0	2029048.0	5.693504209758338e-10
2758150.0	991275.0	1.3277182177046792e-09
2758150.0	2078030.0	2.743022481789363e-10
2758150.0	2905625.0	2.4433643991536233e-10
2758150.0	2346427.0	2.0284532750323644e-10
2838500.0	2346427.0	9.104974695744485e-10
2078030.0	992666.0	2.4272438308402255e-09
2078030.0	2029048.0	2.9504817279689746e-10
2078030.0	991275.0	1.053415969525743e-09
2838500.0	991275.0	2.0353703597758913e-09
2905625.0	992666.0	2.4572096391037995e-09
2905625.0	2029048.0	3.2501398106047144e-10
2905625.0	991275.0	1.083381777789317e-09
2905625.0	2078030.0	2.996580826357398e-11
2838500.0	2078030.0	9.819543902501483e-10
2346427.0	992666.0	2.4987007515159254e-09
2346427.0	2029048.0	3.6650509347259733e-10
2346427.0	991275.0	1.1248728902014428e-09
2346427.0	2078030.0	7.145692067569986e-11
2346427.0	2905625.0	4.1491112412125886e-11
2838500.0	2905625.0	9.519885819865744e-10
709329.0	992666.0	2.8675103007683687e-09
